site_id,expt_id,start_date,end_date,t_offset
EHD,yield1,2019-03-05,2019-09-25,0
EHD,split1,2020-02-14,2020-06-25,0
EHD,split1,2020-06-26,2020-07-20,0
EHD,split1,2020-07-21,2020-07-26,0
EHD,split1,2020-07-27,2020-08-11,0
EHD,biochar1,2021-04-30,2021-05-14 12:20,620
EHD,biochar1,2021-05-15 12:20,2021-09-08,90
EHD,biochar0,2021-04-30,2021-06-14,0
EHD,digestate1,2023-03-16,2023-08-12,0
HRG,diurnal1,2023-05-04,2023-09-15,0
PDF,mix1,2024-05-02,2024-09-30,0
