site_id,expt_id,chamber_id,start_time,end_time,Reason,QC_code
EHD,split1,21,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,22,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,23,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,24,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,25,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,26,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,27,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,28,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,29,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,30,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,31,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,split1,32,2020-06-26T00:00:00Z,2020-07-20T23:59:00Z,No clear enclosures,
EHD,yield1,1,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,2,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,3,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,4,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,5,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,6,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,7,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,8,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,9,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,10,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,11,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,12,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,13,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,14,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,15,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,16,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,17,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,18,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,19,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,20,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,21,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,22,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,23,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,24,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,25,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,26,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,27,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,28,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,29,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,30,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,31,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
